parameter,index_0,index_1,index_2,value
camera_matrix,0,0,,3447.171965415415
camera_matrix,0,1,,0.0
camera_matrix,0,2,,1923.1444756302687
camera_matrix,1,0,,0.0
camera_matrix,1,1,,2560.7205091588476
camera_matrix,1,2,,1018.7506467623105
camera_matrix,2,0,,0.0
camera_matrix,2,1,,0.0
camera_matrix,2,2,,1.0
distortion_coefficients,0,0,,-0.9009086271511372
distortion_coefficients,0,1,,2.446437196411813
distortion_coefficients,0,2,,0.008550636337477144
distortion_coefficients,0,3,,-0.01058216310417288
distortion_coefficients,0,4,,-3.651545612287798
rotation_vectors,0,0,0,-0.056352403745781265
rotation_vectors,0,1,0,-0.01685854778547877
rotation_vectors,0,2,0,-0.0010979274534032464
rotation_vectors,1,0,0,-0.04518482048906207
rotation_vectors,1,1,0,-0.03615528363175017
rotation_vectors,1,2,0,-0.01926815058664018
translation_vectors,0,0,0,-3.551675191507786
translation_vectors,0,1,0,-2.3912938259984053
translation_vectors,0,2,0,7.705078052724257
translation_vectors,1,0,0,-3.3270269425833257
translation_vectors,1,1,0,-2.4595947261399567
translation_vectors,1,2,0,7.807680386918307
frame_size,0,,,3840
frame_size,1,,,2160
chessboard_size,0,,,8
chessboard_size,1,,,6
new_camera_matrix,0,0,,651.7788086985632
new_camera_matrix,0,1,,0.0
new_camera_matrix,0,2,,3476.7569660462873
new_camera_matrix,1,0,,0.0
new_camera_matrix,1,1,,1979.3891632167176
new_camera_matrix,1,2,,990.6998780741371
new_camera_matrix,2,0,,0.0
new_camera_matrix,2,1,,0.0
new_camera_matrix,2,2,,1.0
roi,0,,,3113
roi,1,,,203
roi,2,,,726
roi,3,,,1669
reprojection_error,,,,0.9534017578769224
saved_at,,,,2026-06-09T13:34:38
